School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year,NCAABirth,END,Seed
Florida ,31,22,9,0.71,22.27,8.37,2495,2064,,,0.362,0.346,0.561,52.9,58.2,,7.9,0.531,17.2,,0.252,2002,NCAA,Florida ,5
Georgia ,32,22,10,0.688,14.68,9.24,2444,2271,,,0.357,0.302,0.537,51.5,56.8,,5.8,0.496,16.7,,0.263,2002,NCAA,Georgia ,3
Gonzaga ,33,29,4,0.879,13.9,0.74,2677,2197,,,0.443,0.314,0.573,56,57.6,,5.6,0.531,16.4,,0.324,2002,NCAA,Gonzaga ,6
Hampton ,33,26,7,0.788,-0.4,-8.9,2623,2344,,,0.415,0.317,0.565,52,50.4,,5.8,0.537,17.4,,0.278,2002,NCAA,Hampton ,15
Hawaii ,33,27,6,0.818,9.81,1.15,2367,2081,,,0.394,0.349,0.548,49,66.7,,6.3,0.516,15.9,,0.27,2002,NCAA,Hawaii ,10
Holy Cross ,33,18,15,0.545,-1.62,-5.1,2083,1968,,,0.462,0.257,0.499,54.3,63.1,,6.3,0.449,18.4,,0.32,2002,NCAA,Holy Cross ,16
Illinois-Chicago ,34,20,14,0.588,1.45,1.42,2503,2400,,,0.411,0.317,0.536,49,53.6,,2.6,0.506,15.7,,0.27,2002,NCAA,Illinois-Chicago ,15
Illinois ,35,26,9,0.743,19.2,9.94,2708,2369,,,0.446,0.358,0.578,53.1,65,,7.2,0.536,17.9,,0.33,2002,NCAA,Illinois ,4
Indiana ,37,25,12,0.676,19.19,12.08,2607,2316,,,0.365,0.331,0.558,51.2,59.6,,9.3,0.528,17.9,,0.254,2002,NCAA,Indiana ,5
Kansas ,37,33,4,0.892,24.38,9.35,3365,2765,,,0.349,0.216,0.58,55.5,60.9,,8.5,0.551,17.2,,0.251,2002,NCAA,Kansas ,1
Kent State ,36,30,6,0.833,13.67,2.1,2732,2305,,,0.35,0.292,0.557,53.7,49,,3.7,0.522,13.8,,0.255,2002,NCAA,Kent State ,10
Kentucky ,32,22,10,0.688,19.15,11.99,2460,2183,,,0.316,0.342,0.529,53.7,52,,8.1,0.502,16.5,,0.213,2002,NCAA,Kentucky ,4
Marquette ,33,26,7,0.788,17.16,4.77,2413,2004,,,0.391,0.248,0.553,53.4,53,,6.4,0.52,17.2,,0.271,2002,NCAA,Marquette ,5
Maryland ,36,32,4,0.889,23.5,9.38,3060,2552,,,0.415,0.258,0.569,52.4,65.9,,9.4,0.53,15.5,,0.301,2002,NCAA,Maryland ,1
McNeese State ,30,21,9,0.7,-0.59,-5.8,2102,1909,,,0.404,0.276,0.523,52.9,52.1,,9.3,0.491,19.3,,0.264,2002,NCAA,McNeese State ,14
Miami (FL) ,32,24,8,0.75,12.99,5.52,2395,2156,,,0.356,0.36,0.538,48.8,64.2,,10.1,0.492,17.1,,0.275,2002,NCAA,Miami (FL) ,5
Michigan State ,31,19,12,0.613,14.9,9.6,2150,1978,,,0.346,0.277,0.558,55.9,57.3,,5.4,0.516,19.3,,0.267,2002,NCAA,Michigan State ,10
Mississippi State ,35,27,8,0.771,14.42,7.33,2582,2334,,,0.393,0.28,0.554,54.5,60,,5.9,0.529,20,,0.256,2002,NCAA,Mississippi State ,3
Mississippi ,31,20,11,0.645,13.61,6.85,2232,1993,,,0.425,0.382,0.574,51.9,57.3,,3.5,0.533,19.7,,0.313,2002,NCAA,Mississippi ,9
Missouri ,36,24,12,0.667,14.22,6.81,2877,2610,,,0.315,0.37,0.555,53,52.3,,7.2,0.53,16.5,,0.217,2002,NCAA,Missouri ,12
Montana ,31,16,15,0.516,-4.2,-1.71,2218,2263,,,0.432,0.357,0.551,48.6,59.5,,6.8,0.519,18.7,,0.29,2002,NCAA,Montana ,15
Murray State ,32,19,13,0.594,0.65,-1.94,2514,2349,,,0.279,0.312,0.53,53.9,49.4,,8.6,0.5,16.1,,0.202,2002,NCAA,Murray State ,14
North Carolina State ,34,23,11,0.676,15.85,8.17,2565,2304,,,0.389,0.405,0.567,49.8,63.4,,4,0.525,16.6,,0.294,2002,NCAA,North Carolina State ,7
North Carolina-Wilmington ,33,23,10,0.697,6.15,-0.09,2240,2034,,,0.363,0.328,0.53,49.6,57.8,,6,0.496,16,,0.25,2002,NCAA,North Carolina-Wilmington ,13
Notre Dame ,33,22,11,0.667,15.7,6.17,2601,2256,,,0.339,0.316,0.55,52.1,67.3,,7.8,0.518,15.5,,0.24,2002,NCAA,Notre Dame ,8
Ohio State ,32,24,8,0.75,16.14,7.26,2362,2078,,,0.467,0.274,0.568,52.5,58.5,,4.5,0.536,16.8,,0.316,2002,NCAA,Ohio State ,4
Oklahoma State ,32,23,9,0.719,14.39,6.8,2293,2050,,,0.38,0.274,0.521,54.4,55.1,,6,0.493,18.1,,0.245,2002,NCAA,Oklahoma State ,7
Oklahoma ,36,31,5,0.861,21.04,7.7,2807,2327,,,0.314,0.295,0.535,54,51.1,,6.8,0.495,14,,0.241,2002,NCAA,Oklahoma ,2
Oregon ,35,26,9,0.743,19.67,6.93,2994,2538,,,0.414,0.346,0.601,51.7,57.2,,5.2,0.56,16.2,,0.318,2002,NCAA,Oregon ,2
Pennsylvania ,32,25,7,0.781,7.96,-1.51,2342,2039,,,0.358,0.393,0.588,49,68.8,,6.1,0.557,17.5,,0.262,2002,NCAA,Pennsylvania ,11
Pepperdine ,31,22,9,0.71,8.59,3.36,2519,2319,,,0.332,0.319,0.547,49.1,49.1,,8.5,0.514,16.3,,0.238,2002,NCAA,Pepperdine ,10
Pittsburgh ,35,29,6,0.829,14.69,4.55,2530,2133,,,0.38,0.345,0.543,54.5,63.6,,8.1,0.526,17.6,,0.23,2002,NCAA,Pittsburgh ,3
San Diego State ,33,21,12,0.636,7.69,6.02,2455,2339,,,0.395,0.215,0.543,52.4,52.1,,6.6,0.515,18.4,,0.261,2002,NCAA,San Diego State ,13
Siena ,36,17,19,0.472,-2.74,-3.71,2517,2482,,,0.369,0.353,0.524,50.4,54.5,,7.2,0.478,18.6,,0.274,2002,NCAA,Siena ,16
Southern California ,32,22,10,0.688,16.49,8.31,2494,2232,,,0.333,0.281,0.522,51.3,55.4,,7.1,0.489,14,,0.23,2002,NCAA,Southern California ,4
Southern Illinois ,36,28,8,0.778,9.79,1.67,2717,2425,,,0.416,0.284,0.536,52.2,56,,8.5,0.513,16.3,,0.258,2002,NCAA,Southern Illinois ,11
St. John's (NY) ,32,20,12,0.625,7.8,6.3,2250,2202,,,0.415,0.248,0.481,50,46.9,,6.8,0.437,17.1,,0.278,2002,NCAA,St. John's (NY) ,9
Stanford ,30,20,10,0.667,17.03,9.03,2420,2180,,,0.446,0.334,0.548,55.7,58.4,,7.2,0.508,15.6,,0.312,2002,NCAA,Stanford ,8
Texas Tech ,32,23,9,0.719,14.72,7.22,2532,2292,,,0.384,0.194,0.536,49.2,63.2,,6.5,0.502,14.4,,0.262,2002,NCAA,Texas Tech ,6
Texas ,34,22,12,0.647,14.31,9.98,2657,2489,,,0.388,0.26,0.535,53.3,54.4,,6.4,0.5,15.8,,0.267,2002,NCAA,Texas ,6
Tulsa ,34,27,7,0.794,12.66,2.3,2726,2363,,,0.359,0.317,0.578,50.9,61,,7.7,0.541,15.6,,0.27,2002,NCAA,Tulsa ,12
UCLA ,33,21,12,0.636,13.14,10.77,2476,2398,,,0.339,0.299,0.558,52.1,52.7,,4.6,0.53,18.3,,0.235,2002,NCAA,UCLA ,8
Utah ,30,21,9,0.7,10.68,5.18,2018,1839,,,0.411,0.397,0.575,50.6,63.8,,5.6,0.549,18.5,,0.277,2002,NCAA,Utah ,12
Valparaiso ,33,25,8,0.758,9.38,-1.24,2564,2180,,,0.379,0.395,0.546,50.8,63.8,,7.3,0.518,15.7,,0.253,2002,NCAA,Valparaiso ,13
Wake Forest ,34,21,13,0.618,15.25,10.28,2789,2620,,,0.354,0.313,0.57,52,55.2,,6.6,0.535,16.9,,0.261,2002,NCAA,Wake Forest ,7
Western Kentucky ,32,28,4,0.875,10.46,-0.28,2491,2069,,,0.349,0.39,0.567,54.6,57.2,,5.9,0.539,17.2,,0.244,2002,NCAA,Western Kentucky ,9
Winthrop ,31,19,12,0.613,-6.54,-8.21,2092,2018,,,0.394,0.363,0.508,52.1,49.5,,7.7,0.474,18.2,,0.258,2002,NCAA,Winthrop ,16
Wisconsin ,32,19,13,0.594,10.09,9.22,2144,2101,,,0.391,0.354,0.54,49.9,55.7,,3.5,0.499,17.2,,0.281,2002,NCAA,Wisconsin ,8
Wyoming ,31,22,9,0.71,8.62,2.72,2324,2129,,,0.494,0.252,0.539,55.3,52.6,,7.6,0.493,17.2,,0.345,2002,NCAA,Wyoming ,11
Xavier ,32,26,6,0.813,13.9,4.09,2317,2003,,,0.453,0.319,0.55,52.7,51.5,,7.6,0.505,17.1,,0.327,2002,NCAA,Xavier ,7
Alabama ,29,17,12,0.586,13.36,9.4,2002,1887,,,0.364,0.344,0.516,52.6,50.6,,7,0.476,16.4,,0.26,2003,NCAA,Alabama ,10
Arizona State ,32,20,12,0.625,15.01,9.27,2464,2257,,,0.453,0.22,0.552,53,57.1,,7.7,0.518,16.4,,0.305,2003,NCAA,Arizona State ,10
Arizona ,32,28,4,0.875,23.42,8.95,2725,2262,,,0.368,0.306,0.549,54,58.5,,6.5,0.515,15.9,,0.261,2003,NCAA,Arizona ,1
Auburn ,34,22,12,0.647,12.68,8.34,2408,2235,,,0.362,0.303,0.543,51.5,52,,9.1,0.517,19.6,,0.239,2003,NCAA,Auburn ,10
Austin Peay ,31,23,8,0.742,-0.84,-1.98,2204,2101,,,0.436,0.336,0.554,50.9,55.9,,8.1,0.518,19.3,,0.301,2003,NCAA,Austin Peay ,13
Brigham Young ,32,23,9,0.719,13.63,5.29,2299,2032,,,0.461,0.313,0.57,53.3,55.9,,5,0.521,17.8,,0.348,2003,NCAA,Brigham Young ,12
Butler ,33,27,6,0.818,9.11,2.23,2229,1986,,,0.322,0.422,0.584,47.9,53.4,,3.5,0.558,15.6,,0.231,2003,NCAA,Butler ,12
University of California ,31,22,9,0.71,11.77,7.58,2301,2171,,,0.33,0.291,0.547,50.7,57.5,,4.8,0.52,17.1,,0.225,2003,NCAA,University of California ,8
Central Michigan ,32,25,7,0.781,6.85,1.79,2553,2346,,,0.46,0.335,0.611,52.1,58.3,,6.5,0.569,21.6,,0.351,2003,NCAA,Central Michigan ,11
Cincinnati ,29,17,12,0.586,12.9,7.45,1954,1796,,,0.371,0.347,0.503,50.2,53.5,,8.1,0.463,13.6,,0.256,2003,NCAA,Cincinnati ,8
Colorado State ,33,19,14,0.576,5.38,4.41,2450,2363,,,0.465,0.219,0.579,53.3,58.7,,7.8,0.545,20.7,,0.324,2003,NCAA,Colorado State ,14
Colorado ,32,20,12,0.625,12.82,8.01,2405,2251,,,0.387,0.248,0.518,53.5,48.8,,10.6,0.484,16.1,,0.259,2003,NCAA,Colorado ,10
Connecticut ,33,23,10,0.697,15.84,7.63,2622,2351,,,0.358,0.247,0.545,53.4,52.1,,11.7,0.516,17.4,,0.242,2003,NCAA,Connecticut ,5
Creighton ,34,29,5,0.853,15.33,1.03,2688,2202,,,0.347,0.354,0.59,51.2,59,,8.1,0.567,16.8,,0.24,2003,NCAA,Creighton ,6
Dayton ,30,24,6,0.8,11,5.17,2182,2007,,,0.41,0.386,0.558,53.6,61.2,,5.2,0.52,16.9,,0.292,2003,NCAA,Dayton ,4
Duke ,33,26,7,0.788,19.86,8.38,2677,2298,,,0.453,0.339,0.556,51,49.5,,9.4,0.514,16.1,,0.323,2003,NCAA,Duke ,3
East Tennessee State ,31,20,11,0.645,-0.9,-2.94,2543,2332,,,0.409,0.245,0.551,51.7,49.8,,8.1,0.508,19.5,,0.299,2003,NCAA,East Tennessee State ,15
Florida ,33,25,8,0.758,18.54,7.76,2484,2128,,,0.33,0.396,0.578,50.8,61.4,,7,0.553,16.9,,0.232,2003,NCAA,Florida ,2
Gonzaga ,33,24,9,0.727,12.26,3.8,2558,2279,,,0.446,0.345,0.573,54.1,60.3,,6.2,0.533,17.5,,0.323,2003,NCAA,Gonzaga ,9
Holy Cross ,31,26,5,0.839,5.26,-5.38,2180,1821,,,0.423,0.285,0.552,56,64.4,,8.7,0.514,17.8,,0.299,2003,NCAA,Holy Cross ,14
Illinois ,32,25,7,0.781,19.82,6.76,2388,1970,,,0.336,0.355,0.574,52.1,66.9,,5.7,0.544,16.7,,0.244,2003,NCAA,Illinois ,4
Indiana ,34,21,13,0.618,12.63,9.81,2376,2280,,,0.411,0.393,0.537,50.3,59.6,,8.8,0.494,15.1,,0.295,2003,NCAA,Indiana ,7
IUPUI ,34,20,14,0.588,-2.43,-1.8,2423,2406,,,0.417,0.337,0.545,50.4,54.9,,3.3,0.507,19.7,,0.292,2003,NCAA,IUPUI ,16
Kansas ,38,30,8,0.789,25,10.53,3141,2541,,,0.379,0.228,0.556,55.2,55.2,,8.2,0.532,16.6,,0.248,2003,NCAA,Kansas ,2
Kentucky ,36,32,4,0.889,22.47,9.33,2782,2309,,,0.353,0.278,0.567,54.3,55.9,,8.8,0.538,17,,0.248,2003,NCAA,Kentucky ,1
Louisiana State ,32,21,11,0.656,16.08,6.83,2326,2030,,,0.358,0.323,0.562,51.7,60.5,,7.4,0.542,17.7,,0.231,2003,NCAA,Louisiana State ,8
Louisville ,32,25,7,0.781,19.81,6.84,2612,2197,,,0.395,0.386,0.564,51.5,58.6,,8.3,0.532,15.5,,0.275,2003,NCAA,Louisville ,4
Manhattan ,30,23,7,0.767,5.78,-1.99,2274,2041,,,0.411,0.277,0.55,49.1,54,,6.9,0.495,17,,0.324,2003,NCAA,Manhattan ,14
Marquette ,33,27,6,0.818,16.28,7.28,2589,2292,,,0.406,0.272,0.58,53.1,59.2,,6,0.536,16.4,,0.313,2003,NCAA,Marquette ,3
Maryland ,31,21,10,0.677,20.56,7.56,2472,2069,,,0.337,0.27,0.549,51.8,63.6,,10.6,0.517,16.1,,0.24,2003,NCAA,Maryland ,6
Memphis ,30,23,7,0.767,13.23,5.27,2232,1993,,,0.379,0.337,0.523,52.7,62.6,,8.7,0.493,16.2,,0.248,2003,NCAA,Memphis ,7
Michigan State ,35,22,13,0.629,16.12,9.72,2367,2143,,,0.427,0.266,0.548,54.2,58.4,,6.8,0.502,18.9,,0.314,2003,NCAA,Michigan State ,7
Milwaukee ,32,24,8,0.75,7.71,0.81,2466,2238,,,0.367,0.375,0.566,50.1,62,,6.5,0.537,17.9,,0.254,2003,NCAA,Milwaukee ,12
Mississippi State ,31,21,10,0.677,17.65,8,2151,1852,,,0.316,0.295,0.544,54.5,55.2,,6.9,0.519,19.5,,0.213,2003,NCAA,Mississippi State ,5
Missouri ,33,22,11,0.667,14.87,10.15,2389,2233,,,0.306,0.357,0.532,52.2,52,,7.3,0.508,16.9,,0.203,2003,NCAA,Missouri ,6
North Carolina-Asheville ,32,15,17,0.469,-13.19,-5.61,2320,2514,,,0.36,0.317,0.536,49,53.7,,5,0.491,19.2,,0.274,2003,NCAA,North Carolina-Asheville ,16
North Carolina State ,31,18,13,0.581,11.76,7.57,2246,2116,,,0.383,0.42,0.574,49.8,60.4,,6,0.531,18.4,,0.295,2003,NCAA,North Carolina State ,9
North Carolina-Wilmington ,31,24,7,0.774,8.52,-2.8,2214,1863,,,0.327,0.333,0.548,48.5,56.9,,3.6,0.52,14.8,,0.227,2003,NCAA,North Carolina-Wilmington ,11
Notre Dame ,34,24,10,0.706,17.32,9.43,2692,2424,,,0.368,0.358,0.558,49.8,60.9,,8.5,0.515,15.6,,0.28,2003,NCAA,Notre Dame ,5
Oklahoma State ,32,22,10,0.688,14.62,8.46,2224,2004,,,0.403,0.278,0.523,50.8,51,,9.6,0.492,18.2,,0.262,2003,NCAA,Oklahoma State ,6
Oklahoma ,34,27,7,0.794,18.86,8.53,2392,2041,,,0.329,0.334,0.541,53.3,56.5,,6.8,0.512,15.7,,0.228,2003,NCAA,Oklahoma ,1
Oregon ,33,23,10,0.697,14.05,6.11,2689,2427,,,0.336,0.369,0.569,49.4,60.7,,4.5,0.529,17.6,,0.26,2003,NCAA,Oregon ,8
Pennsylvania ,28,22,6,0.786,8.44,-1.45,1958,1681,,,0.365,0.425,0.583,51.8,62.6,,4.1,0.554,18,,0.259,2003,NCAA,Pennsylvania ,11
Pittsburgh ,33,28,5,0.848,21.49,5.79,2473,1955,,,0.424,0.324,0.583,55,66,,7.7,0.565,18.6,,0.271,2003,NCAA,Pittsburgh ,2
Purdue ,30,19,11,0.633,15.95,9.42,2156,1960,,,0.462,0.285,0.54,49.6,50.3,,5.2,0.484,17.1,,0.347,2003,NCAA,Purdue ,9
Saint Joseph's ,30,23,7,0.767,14.61,3.71,2111,1784,,,0.376,0.402,0.547,49.9,57.5,,10.1,0.516,16.7,,0.258,2003,NCAA,Saint Joseph's ,7
Sam Houston State ,30,23,7,0.767,-1.65,-6.87,2185,1951,,,0.424,0.331,0.556,51.3,66.8,,10.1,0.518,19.5,,0.299,2003,NCAA,Sam Houston State ,15
San Diego ,30,18,12,0.6,5.46,2.74,2265,2143,,,0.485,0.341,0.566,53.5,64.8,,5.6,0.535,21.1,,0.323,2003,NCAA,San Diego ,13
South Carolina State ,31,20,11,0.645,-9.2,-10.14,2238,2209,,,0.465,0.288,0.545,51,41.3,,5,0.502,22.7,,0.325,2003,NCAA,South Carolina State ,16
Southern Illinois ,31,24,7,0.774,8.57,2.37,2307,2115,,,0.335,0.274,0.553,49.1,50.8,,5.8,0.523,15.7,,0.234,2003,NCAA,Southern Illinois ,11
Stanford ,33,24,9,0.727,13.25,8.37,2391,2230,,,0.351,0.337,0.532,53.6,56.6,,6.1,0.502,17.3,,0.238,2003,NCAA,Stanford ,4
Syracuse ,35,30,5,0.857,19.02,9.02,2785,2435,,,0.376,0.252,0.551,51.7,51.3,,11,0.519,16.3,,0.26,2003,NCAA,Syracuse ,3
Texas Southern ,31,18,13,0.581,-9.57,-11.21,2268,2217,,,0.509,0.334,0.531,52.3,57.3,,3.6,0.503,18.1,,0.311,2003,NCAA,Texas Southern ,16
Texas ,33,26,7,0.788,18.91,9.27,2618,2300,,,0.398,0.268,0.536,54.5,52.2,,6.2,0.493,15,,0.287,2003,NCAA,Texas ,1
Troy ,32,26,6,0.813,2.86,-4.8,2556,2262,,,0.286,0.433,0.532,50.9,54.2,,8.6,0.506,15.3,,0.197,2003,NCAA,Troy ,14
Tulsa ,33,23,10,0.697,10.41,2.29,2423,2155,,,0.329,0.314,0.556,51.3,55.6,,8.2,0.523,17.7,,0.24,2003,NCAA,Tulsa ,13
Utah State ,33,24,9,0.727,4.16,-1.43,2197,1979,,,0.377,0.264,0.539,55.6,58.9,,4.1,0.501,16.6,,0.269,2003,NCAA,Utah State ,15
Utah ,33,25,8,0.758,11,5.25,2191,1991,,,0.369,0.369,0.555,51.9,56.4,,7.6,0.521,17.8,,0.263,2003,NCAA,Utah ,9
Vermont ,33,21,12,0.636,-1.32,-4.85,2275,2111,,,0.342,0.278,0.523,55.2,57.1,,5.5,0.494,18.1,,0.228,2003,NCAA,Vermont ,16
Wagner ,32,21,11,0.656,-3.33,-6.48,2403,2302,,,0.335,0.32,0.563,51.5,59.4,,4.9,0.531,18.4,,0.243,2003,NCAA,Wagner ,15
Wake Forest ,31,25,6,0.806,16.96,6.96,2412,2102,,,0.457,0.315,0.557,56.5,54.8,,7.7,0.506,18,,0.344,2003,NCAA,Wake Forest ,2
Weber State ,32,26,6,0.813,4.56,-2.01,2385,2164,,,0.477,0.337,0.569,51.5,56.9,,1.4,0.523,16.1,,0.349,2003,NCAA,Weber State ,12
Western Kentucky ,33,24,9,0.727,7.71,1.4,2430,2194,,,0.371,0.372,0.554,52.1,55,,6.5,0.529,18.5,,0.245,2003,NCAA,Western Kentucky ,13
Wisconsin ,32,24,8,0.75,17.48,6.51,2250,1899,,,0.359,0.327,0.558,51.5,53,,5.3,0.521,14.2,,0.263,2003,NCAA,Wisconsin ,5
Xavier ,32,26,6,0.813,16.08,4.61,2482,2115,,,0.407,0.301,0.548,53.8,61.5,,4.9,0.502,15.2,,0.304,2003,NCAA,Xavier ,3
Air Force ,29,22,7,0.759,9.12,0.08,1737,1475,,,0.373,0.532,0.607,43.4,66,,5.7,0.582,18.2,,0.265,2004,NCAA,Air Force ,11
Alabama-Birmingham ,32,22,10,0.688,11.76,5.63,2414,2218,,,0.327,0.322,0.521,46.6,63.9,,6.5,0.493,15.7,,0.218,2004,NCAA,Alabama-Birmingham ,9
Alabama State ,31,16,15,0.516,-11.1,-10.78,1904,1913,,,0.454,0.339,0.514,51.9,49.3,,5.8,0.476,22.5,,0.297,2004,NCAA,Alabama State ,16
Alabama ,33,20,13,0.606,14.29,10.2,2380,2245,,,0.408,0.342,0.553,50.4,48.6,,5.9,0.516,16.4,,0.289,2004,NCAA,Alabama ,8
Arizona ,30,20,10,0.667,15.3,6.63,2614,2354,,,0.335,0.293,0.582,52.7,59.4,,6.9,0.543,16.6,,0.264,2004,NCAA,Arizona ,9
Boston College ,34,24,10,0.706,11.99,7.17,2312,2148,,,0.447,0.218,0.53,52.2,66.3,,5.2,0.491,17.3,,0.304,2004,NCAA,Boston College ,6
Brigham Young ,30,21,9,0.7,12.7,6.31,2200,1966,,,0.44,0.31,0.579,54.4,58.2,,6.3,0.541,17.7,,0.319,2004,NCAA,Brigham Young ,12
Central Florida ,31,25,6,0.806,1.86,-5.87,2181,1916,,,0.294,0.38,0.552,53.3,65.7,,8.6,0.524,19.3,,0.211,2004,NCAA,Central Florida ,14
Charlotte ,30,21,9,0.7,12.24,4.7,2374,2148,,,0.442,0.378,0.543,53,59.6,,5,0.514,17.3,,0.287,2004,NCAA,Charlotte ,9
Cincinnati ,32,25,7,0.781,18.75,6.28,2455,2056,,,0.382,0.323,0.549,52.9,59.6,,9.8,0.521,14.9,,0.256,2004,NCAA,Cincinnati ,4
Connecticut ,39,33,6,0.846,22.64,7.77,3073,2493,,,0.345,0.258,0.549,56.1,59,,12.6,0.532,16,,0.215,2004,NCAA,Connecticut ,2
Dayton ,33,24,9,0.727,7.11,3.57,2244,2127,,,0.411,0.369,0.538,55,62.7,,5,0.506,18.3,,0.273,2004,NCAA,Dayton ,10
DePaul ,32,22,10,0.688,9.06,6.38,2257,2171,,,0.382,0.256,0.544,53.1,53.8,,4.1,0.51,16.9,,0.267,2004,NCAA,DePaul ,7
Duke ,37,31,6,0.838,25.67,10.86,2954,2406,,,0.412,0.334,0.572,51.6,52.7,,11.1,0.532,16.5,,0.303,2004,NCAA,Duke ,1
East Tennessee State ,33,27,6,0.818,4.19,-3.15,2618,2291,,,0.37,0.282,0.541,50,53.4,,9.3,0.508,17.5,,0.255,2004,NCAA,East Tennessee State ,13
Eastern Washington ,30,17,13,0.567,0.83,-0.34,2102,2035,,,0.386,0.31,0.564,49.6,64.3,,3.1,0.531,19.6,,0.273,2004,NCAA,Eastern Washington ,15
Florida A&M ,32,15,17,0.469,-9.85,-7.94,2311,2372,,,0.428,0.434,0.533,47.5,54.2,,2.9,0.49,19.9,,0.303,2004,NCAA,Florida A&M ,16
Florida ,31,20,11,0.645,16.29,9.19,2369,2149,,,0.358,0.385,0.589,50.6,59.3,,5.5,0.555,18.4,,0.269,2004,NCAA,Florida ,5
Georgia Tech ,38,28,10,0.737,20.66,11.21,2911,2552,,,0.383,0.329,0.557,50.1,56.3,,7.7,0.525,18.1,,0.265,2004,NCAA,Georgia Tech ,3
Gonzaga ,31,28,3,0.903,18.94,3.32,2536,2052,,,0.41,0.278,0.601,55.8,61.8,,6.1,0.565,16.5,,0.308,2004,NCAA,Gonzaga ,2
Illinois-Chicago ,32,24,8,0.75,6,-0.47,2223,2016,,,0.39,0.228,0.522,52.2,57.8,,5.1,0.495,16,,0.248,2004,NCAA,Illinois-Chicago ,13
Illinois ,33,26,7,0.788,16.93,7.08,2402,2077,,,0.301,0.349,0.553,52,63.7,,7,0.528,15.6,,0.209,2004,NCAA,Illinois ,5
Kansas ,33,24,9,0.727,17.1,9.44,2503,2218,,,0.386,0.292,0.55,52.8,63.9,,8.4,0.514,17.6,,0.273,2004,NCAA,Kansas ,4
Kentucky ,32,27,5,0.844,18.83,8.55,2365,2036,,,0.343,0.313,0.556,53.6,58.5,,6.3,0.527,18,,0.239,2004,NCAA,Kentucky ,1
Lehigh ,31,20,11,0.645,-7.3,-8.88,2082,1974,,,0.346,0.334,0.52,51.5,56.5,,6.4,0.482,18.4,,0.248,2004,NCAA,Lehigh ,16
Liberty ,33,18,15,0.545,-3.12,-4.22,2284,2224,,,0.34,0.35,0.514,51.5,56.3,,5.5,0.482,19.2,,0.23,2004,NCAA,Liberty ,16
Louisiana ,29,20,9,0.69,6.24,0.42,2234,2000,,,0.341,0.372,0.56,48.7,59.5,,3.7,0.534,17.4,,0.235,2004,NCAA,Louisiana ,14
Louisville ,30,20,10,0.667,18.6,6.97,2195,1846,,,0.365,0.406,0.532,50.2,62.4,,9,0.488,16.7,,0.273,2004,NCAA,Louisville ,10
Manhattan ,31,25,6,0.806,9.29,-1.26,2311,1984,,,0.463,0.284,0.549,50.9,44.4,,7.8,0.494,15.8,,0.352,2004,NCAA,Manhattan ,12
Maryland ,32,20,12,0.625,16.96,11.68,2477,2308,,,0.416,0.242,0.512,51.7,50.6,,11.3,0.482,16.7,,0.262,2004,NCAA,Maryland ,4
Memphis ,30,22,8,0.733,13.06,5.96,2172,1959,,,0.383,0.412,0.525,52.3,57.7,,9.1,0.494,15.6,,0.252,2004,NCAA,Memphis ,7
Michigan State ,30,18,12,0.6,12.15,8.38,2138,2025,,,0.386,0.312,0.595,51.4,59,,3.6,0.555,19.6,,0.298,2004,NCAA,Michigan State ,7
Mississippi State ,30,26,4,0.867,16.78,6.08,2318,1997,,,0.406,0.317,0.55,55.4,50.6,,7.5,0.522,17.9,,0.27,2004,NCAA,Mississippi State ,2
Monmouth ,33,21,12,0.636,-4.84,-5.66,2253,2226,,,0.385,0.375,0.529,47.2,60.4,,4.5,0.483,17.3,,0.285,2004,NCAA,Monmouth ,15
Murray State ,34,28,6,0.824,7.22,-3.2,2730,2342,,,0.363,0.328,0.579,53.2,64,,7.4,0.551,16.8,,0.258,2004,NCAA,Murray State ,12
Nevada ,34,25,9,0.735,14.91,5.82,2579,2257,,,0.417,0.252,0.541,53.9,53.1,,7.8,0.496,15.7,,0.304,2004,NCAA,Nevada ,10
North Carolina State ,31,21,10,0.677,18.45,10.61,2261,2018,,,0.357,0.446,0.573,50.5,59.7,,4.1,0.527,17.5,,0.285,2004,NCAA,North Carolina State ,3
North Carolina ,30,19,11,0.633,19.4,12.04,2464,2243,,,0.392,0.29,0.543,52.8,61.3,,6.7,0.51,16.9,,0.269,2004,NCAA,North Carolina ,6
Northern Iowa ,31,21,10,0.677,6.87,3.2,2147,2015,,,0.394,0.383,0.55,49.9,56.7,,3.6,0.508,16.6,,0.291,2004,NCAA,Northern Iowa ,14
Oklahoma State ,35,31,4,0.886,20.85,7.23,2698,2188,,,0.389,0.226,0.583,53.9,56,,6.7,0.556,16.8,,0.27,2004,NCAA,Oklahoma State ,2
Pacific ,33,25,8,0.758,5.76,0.95,2272,2097,,,0.457,0.334,0.572,50.5,62.6,,5.5,0.528,19.2,,0.336,2004,NCAA,Pacific ,12
Pittsburgh ,36,31,5,0.861,18.2,6.49,2446,2031,,,0.389,0.255,0.537,53.9,57.9,,8.5,0.51,16.7,,0.254,2004,NCAA,Pittsburgh ,3
Princeton ,28,20,8,0.714,1.54,-3.32,1760,1591,,,0.344,0.379,0.573,52.4,59.3,,6.8,0.545,19.5,,0.245,2004,NCAA,Princeton ,14
